current_age,race,sex,citizen,military,education,homeless_12mo_prior,jail_time_served,jail_time,arrest_year,admit_year,held_by,state,sentenced,controlling_offense,controlling_offense_type,arrested_during_status,firearm_at_offense,alc_at_offense,drug_at_offense,victim_hispanic,victim_race,victim_sex,victim_age,victim_known,victim_offense,max_time_est,censored,race_white,race_black
34,White,Male,Citizen,Non-veteran,Less Than High School,NA,Yes,45,2014,2014,State,MO,Yes,Burglary,Property,None,No,Yes,Yes,NA,NA,NA,NA,NA,NA,0,1,Y,N
38,Hispanic,Male,Citizen,Non-veteran,Less Than High School,No,Yes,395,2013,2015,State,CA,Yes,Drug Trafficking,Drug,Probation,No,No,NA,NA,NA,NA,NA,NA,NA,2,1,N,N
38,White,Female,Citizen,Non-veteran,Less Than High School,No,Yes,63,2004,2004,State,FL,Yes,Other Property,Property,None,No,No,No,NA,NA,NA,NA,NA,NA,0,1,Y,N
28,Other,Female,Citizen,Non-veteran,Some College,No,Yes,81,2016,2016,State,KS,Yes,Drug Trafficking,Drug,None,No,No,No,NA,NA,NA,NA,NA,NA,0,1,N,N
28,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,91,2013,2013,State,AR,Yes,Assault,Violent,Parole,No,Yes,Yes,No,White,Male,35 to 54,Stranger,Other Violent Offense,0,1,N,Y
40,White,Male,Citizen,Non-veteran,Some College,No,Yes,122,2014,2016,State,TX,Yes,Drug Possession,Drug,Probation,No,No,Yes,NA,NA,NA,NA,NA,NA,2,1,Y,N
41,White,Male,Citizen,Veteran,High School Graduate,No,NA,NA,2016,2016,Local,VT,No,Assault,Violent,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,0,0,Y,N
40,White,Female,Citizen,Non-veteran,Less Than High School,No,No,0,2015,2015,Federal,NC,Yes,Drug Trafficking,Drug,None,No,No,Yes,NA,NA,NA,NA,NA,NA,0,1,Y,N
46,Hispanic,Male,Citizen,Non-veteran,Less Than High School,No,Yes,14,1998,2001,Federal,IL,Yes,Drug Trafficking,Drug,None,No,NA,No,NA,NA,NA,NA,NA,NA,3,1,N,N
47,American Indian/Alaska Native,Male,Citizen,Non-veteran,Less Than High School,No,Yes,304,2009,2010,State,CA,Yes,Robbery,Violent,Parole,No,No,Yes,NA,NA,NA,NA,NA,NA,1,1,N,N
54,White,Male,Citizen,Non-veteran,Some College,No,Yes,274,2012,2013,State,TX,Yes,Homicide,Violent,None,No,No,No,NA,White,NA,NA,NA,NA,1,1,Y,N
33,Other,Male,Citizen,Non-veteran,Some College,No,Yes,365,2011,2012,State,OR,Yes,Assault,Violent,Parole,No,No,No,No,White,Male,Under 12 Years,Knew,Other Violent Offense,1,1,N,N
28,White,Male,Citizen,Non-veteran,Less Than High School,No,Yes,1095,2004,2007,State,FL,Yes,Robbery,Violent,Probation,Yes,No,NA,No,Asian/Native Hawaiian/Other Pacific Islander,Male,25 to 34,Knew,Other Violent Offense,3,1,Y,N
23,White,Male,Citizen,Non-veteran,High School Graduate,No,Yes,61,2015,2015,State,MO,Yes,Rape Sexual Assault,Violent,Probation,No,Yes,No,No,White,Male,Under 12 Years,Knew,Other Violent Offense,0,1,Y,N
26,Hispanic,Female,Citizen,Non-veteran,Less Than High School,No,Yes,548,2012,2013,Federal,TX,Yes,Other Public Order,Public order,None,No,Yes,No,NA,NA,NA,NA,NA,NA,1,1,N,N
70,White,Male,Citizen,Non-veteran,College Degree or More,No,Yes,487,2011,2013,State,FL,Yes,Other Public Order,Public order,None,No,No,No,NA,NA,NA,NA,NA,NA,2,1,Y,N
38,Other,Female,Citizen,Non-veteran,Less Than High School,No,Yes,288,2014,2014,State,TX,Yes,Drug Trafficking,Drug,None,No,No,No,NA,NA,NA,NA,NA,NA,0,1,N,N
47,Black,Female,Citizen,Non-veteran,High School Graduate,No,Yes,266,2009,2010,State,MI,Yes,Homicide,Violent,None,No,NA,No,No,Black,Female,Under 12 Years,Knew,Other Violent Offense,1,1,N,Y
43,Black,Male,Citizen,Non-veteran,Some College,No,Yes,0,2012,2012,State,-1,Yes,Rape Sexual Assault,Violent,None,No,NA,NA,No,Black,Female,12 to 17,Knew,Other Violent Offense,0,1,N,Y
36,NA,Male,Non-citizen,Non-veteran,Less Than High School,No,Yes,274,2010,2011,State,TX,Yes,Robbery,Violent,None,No,No,No,No,Black,Male,25 to 34,Stranger,Other Violent Offense,1,1,NA,NA
39,White,Male,Citizen,Veteran,High School Graduate,Yes,Yes,426,2013,2015,State,OR,Yes,Homicide,Violent,Parole,Yes,No,Yes,No,White,Female,25 to 34,Knew,Murder / Manslaughter / Homicide,2,1,Y,N
20,White,Male,Citizen,Non-veteran,High School Graduate,No,No,0,2010,2016,State,MA,Yes,NA,NA,Probation,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,6,1,Y,N
68,Black,Male,Citizen,Veteran,Less Than High School,No,Yes,730,1972,1974,State,NY,Yes,Homicide,Violent,None,Yes,No,No,No,White,Male,25 to 34,Stranger,Murder / Manslaughter / Homicide,2,1,N,Y
37,Hispanic,Male,Citizen,Non-veteran,Less Than High School,Yes,Yes,356,2014,2014,State,TX,Yes,Other Unspecified,Other,None,No,No,NA,NA,NA,NA,NA,NA,NA,0,1,N,N
31,Black,Male,Citizen,Non-veteran,Less Than High School,NA,Yes,122,2014,2014,State,MO,Yes,Robbery,Violent,Probation,No,No,No,No,Black,Female,25 to 34,Stranger,Other Violent Offense,0,1,N,Y
48,White,Male,Citizen,Non-veteran,Less Than High School,No,Yes,730,2008,2010,Federal,MS,Yes,Other Public Order,Public order,None,No,No,No,NA,NA,NA,NA,NA,NA,2,1,Y,N
46,White,Male,Citizen,Non-veteran,High School Graduate,No,Yes,426,2013,2015,Federal,NC,Yes,Robbery,Violent,None,No,No,NA,NA,White,NA,NA,NA,NA,2,1,Y,N
21,White,Female,Citizen,Non-veteran,High School Graduate,No,Yes,304,2015,2016,State,NE,Yes,Robbery,Violent,None,Yes,Yes,Yes,NA,Multiple,NA,NA,NA,NA,1,1,Y,N
66,Hispanic,Male,Citizen,Non-veteran,Less Than High School,No,Yes,98,2015,2015,State,TX,Yes,Other Property,Property,Parole,No,No,No,NA,NA,NA,NA,NA,NA,0,1,N,N
37,White,Female,Citizen,Non-veteran,Some College,No,Yes,821,2015,2015,State,MS,Yes,Other Public Order,Public order,Probation,No,Yes,Yes,NA,NA,NA,NA,NA,NA,0,1,Y,N
32,Other,Male,Citizen,Non-veteran,Less Than High School,No,Yes,243,2015,2016,State,OH,Yes,Other Public Order,Public order,Parole,No,No,Yes,NA,NA,NA,NA,NA,NA,1,1,N,N
48,Other,Male,Citizen,Non-veteran,Less Than High School,NA,Yes,213,2013,2014,State,MI,Yes,Drug Trafficking,Drug,Parole,Yes,NA,NA,NA,NA,NA,NA,NA,NA,1,1,N,N
41,Black,Male,Citizen,Non-veteran,High School Graduate,No,Yes,730,2004,2006,State,IL,Yes,Other Violent,Violent,Parole,Yes,Yes,Yes,NA,White,NA,NA,NA,NA,2,1,N,Y
33,Hispanic,Male,Non-citizen,Non-veteran,Less Than High School,No,Yes,1642,2011,2015,Federal,CA,Yes,Drug Trafficking,Drug,Escape,No,NA,NA,NA,NA,NA,NA,NA,NA,4,1,N,N
36,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,1095,2001,2004,State,IL,Yes,Other Violent,Violent,Parole,Yes,Yes,Yes,No,Black,Male,25 to 34,Knew,Other Violent Offense,3,1,N,Y
42,Hispanic,Male,Citizen,Non-veteran,College Degree or More,No,No,0,2013,2015,Federal,NY,Yes,Other Property,Property,None,No,No,No,NA,NA,NA,NA,NA,NA,2,1,N,N
28,Hispanic,Female,Citizen,Non-veteran,College Degree or More,No,Yes,243,2015,2015,Federal,CA,Yes,Other Public Order,Public order,Probation,No,No,NA,NA,NA,NA,NA,NA,NA,0,1,N,N
24,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,61,NA,NA,State,MI,Yes,Other Violent,Violent,Parole,No,NA,No,No,Black,Female,35 to 54,Knew,Other Violent Offense,NA,1,N,Y
29,White,Male,Citizen,Non-veteran,Less Than High School,No,Yes,365,2014,2015,State,FL,Yes,Burglary,Property,None,No,No,No,NA,NA,NA,NA,NA,NA,1,1,Y,N
40,Hispanic,Female,Citizen,Non-veteran,College Degree or More,No,Yes,730,2009,2009,State,WA,Yes,NA,NA,None,No,No,No,NA,NA,NA,NA,NA,NA,0,1,N,N
25,Black,Male,Citizen,Non-veteran,Less Than High School,Yes,Yes,456,2013,2014,State,CA,Yes,Robbery,Violent,Probation,Yes,No,Yes,Yes,White,NA,NA,NA,NA,1,1,N,Y
36,Hispanic,Male,Non-citizen,Non-veteran,Less Than High School,No,Yes,182,2013,2013,State,TX,Yes,Drug Possession,Drug,None,Yes,Yes,No,NA,NA,NA,NA,NA,NA,0,1,N,N
25,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,30,2016,2016,State,NC,Yes,Other Public Order,Public order,Probation,No,No,No,NA,NA,NA,NA,NA,NA,0,1,N,Y
44,Hispanic,Male,Non-citizen,Non-veteran,Less Than High School,No,Yes,1,2012,2012,ICE,TX,Yes,Rape Sexual Assault,Violent,None,No,NA,No,Yes,White,Female,12 to 17,Knew,Rape,0,1,N,N
50,Hispanic,Male,Citizen,Non-veteran,Less Than High School,No,Yes,274,2014,2014,State,TX,Yes,Drug Trafficking,Drug,Parole,Yes,No,No,NA,NA,NA,NA,NA,NA,0,1,N,N
33,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,365,2010,2011,State,TX,Yes,Assault,Violent,None,Yes,NA,Yes,Yes,White,NA,NA,NA,NA,1,1,N,Y
49,Other,Female,Citizen,Non-veteran,Less Than High School,No,Yes,152,2014,2014,State,TN,Yes,Other Public Order,Public order,None,No,NA,No,NA,NA,NA,NA,NA,NA,0,1,N,N
25,Hispanic,Male,Non-citizen,Non-veteran,Some College,No,Yes,243,2015,2015,Federal,-1,Yes,Drug Trafficking,Drug,None,No,No,No,NA,NA,NA,NA,NA,NA,0,1,N,N
47,White,Male,Citizen,Non-veteran,Less Than High School,No,Yes,91,NA,2016,Federal,NY,Yes,Other Public Order,Public order,Probation,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,1,Y,N
41,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,456,1995,1996,Federal,VA,Yes,Drug Trafficking,Drug,None,Yes,Yes,No,NA,NA,NA,NA,NA,NA,1,1,N,Y
26,American Indian/Alaska Native,Male,Citizen,Non-veteran,Less Than High School,No,Yes,213,2014,2015,State,IL,Yes,Burglary,Property,None,No,Yes,Yes,NA,NA,NA,NA,NA,NA,1,1,N,N
53,White,Male,Citizen,Veteran,Less Than High School,Yes,Yes,365,1998,1999,State,PA,Yes,Rape Sexual Assault,Violent,None,No,No,No,No,White,Female,12 to 17,Knew,Rape,1,1,Y,N
44,Hispanic,Male,Citizen,Non-veteran,Less Than High School,No,Yes,365,1996,1997,State,CA,Yes,Homicide,Violent,None,Yes,No,No,Yes,White,Male,18 to 24,Stranger,Murder / Manslaughter / Homicide,1,1,N,N
32,Hispanic,Transgender/Other,Citizen,Non-veteran,High School Graduate,No,No,0,2015,2015,State,CT,No,Rape Sexual Assault,Violent,NA,No,No,Yes,NA,White,NA,NA,NA,NA,0,0,N,N
27,White,Female,Citizen,Non-veteran,Less Than High School,No,Yes,365,2014,2015,State,IN,Yes,Drug Trafficking,Drug,Probation,No,No,No,NA,NA,NA,NA,NA,NA,1,1,Y,N
24,Hispanic,Male,Citizen,Non-veteran,Less Than High School,Yes,Yes,44,2015,2015,State,TX,Yes,Other Property,Property,None,No,No,No,NA,NA,NA,NA,NA,NA,0,1,N,N
30,Black,Female,Citizen,Non-veteran,High School Graduate,No,Yes,14,2016,2016,State,TX,Yes,Other Property,Property,None,No,NA,No,NA,NA,NA,NA,NA,NA,0,1,N,Y
44,White,Male,Citizen,Non-veteran,Less Than High School,Yes,Yes,38,2015,2015,State,MO,Yes,Other Public Order,Public order,Parole,No,No,No,NA,NA,NA,NA,NA,NA,0,1,Y,N
26,Hispanic,Male,Citizen,Non-veteran,High School Graduate,No,Yes,700,2014,2015,State,FL,Yes,Robbery,Violent,None,Yes,No,Yes,NA,White,NA,NA,NA,NA,1,1,N,N
34,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,1,2008,2008,Federal,AL,Yes,Other Drug,Drug,None,No,Yes,Yes,NA,NA,NA,NA,NA,NA,0,1,N,Y
51,Hispanic,Male,Citizen,Non-veteran,Less Than High School,No,Yes,122,2012,2013,State,NM,Yes,Rape Sexual Assault,Violent,None,No,No,No,Yes,White,Female,Under 12 Years,Knew,Other Violent Offense,1,1,N,N
40,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,395,2013,2015,Federal,MO,Yes,Weapons,Public order,None,No,No,No,NA,NA,NA,NA,NA,NA,2,1,N,Y
78,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,NA,NA,NA,State,FL,Yes,Homicide,Violent,None,No,No,NA,No,Black,Female,25 to 34,Knew,Murder / Manslaughter / Homicide,NA,1,N,Y
44,White,Male,Citizen,Non-veteran,Some College,No,Yes,1399,2010,2014,Federal,CO,Yes,Other Public Order,Public order,None,No,No,NA,NA,NA,NA,NA,NA,NA,4,1,Y,N
50,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,105,1989,1989,State,FL,Yes,Robbery,Violent,None,No,No,No,NA,Black,NA,NA,NA,NA,0,1,N,Y
23,Other,Male,Citizen,Non-veteran,High School Graduate,No,Yes,152,2012,2012,State,MI,Yes,Robbery,Violent,Probation,Yes,NA,No,NA,Multiple,NA,NA,NA,NA,0,1,N,N
49,American Indian/Alaska Native,Female,Citizen,Non-veteran,Less Than High School,No,Yes,730,2009,2011,State,FL,Yes,Homicide,Violent,None,No,No,NA,No,Black,Male,35 to 54,Knew,Murder / Manslaughter / Homicide,2,1,N,N
36,Other,Male,Citizen,Non-veteran,High School Graduate,No,Yes,243,2015,2016,State,NC,Yes,Drug Trafficking,Drug,None,No,Yes,Yes,NA,NA,NA,NA,NA,NA,1,1,N,N
23,Hispanic,Male,Citizen,Non-veteran,Less Than High School,No,Yes,12,2016,2016,State,MI,Yes,Burglary,Property,Parole,No,No,No,NA,NA,NA,NA,NA,NA,0,1,N,N
42,White,Male,Citizen,Non-veteran,Less Than High School,No,Yes,669,2005,2007,Federal,MS,Yes,Drug Trafficking,Drug,Probation,No,No,Yes,NA,NA,NA,NA,NA,NA,2,1,Y,N
43,White,Male,Citizen,Non-veteran,High School Graduate,No,Yes,365,2014,2015,State,GA,Yes,Other Property,Property,Probation,No,No,Yes,NA,NA,NA,NA,NA,NA,1,1,Y,N
56,White,Male,Citizen,Non-veteran,Some College,No,Yes,608,1997,1999,State,NC,Yes,Homicide,Violent,None,Yes,No,No,NA,White,NA,NA,NA,NA,2,1,Y,N
39,White,Female,Citizen,Non-veteran,Less Than High School,No,Yes,365,1995,1996,State,OH,Yes,Homicide,Violent,None,No,NA,NA,No,White,Female,Under 12 Years,Knew,Murder / Manslaughter / Homicide,1,1,Y,N
37,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,335,2011,2012,Federal,TX,Yes,Drug Trafficking,Drug,Parole,No,Yes,No,NA,NA,NA,NA,NA,NA,1,1,N,Y
24,White,Female,Citizen,Non-veteran,Some College,No,Yes,70,2016,2016,State,AR,Yes,Drug Trafficking,Drug,Probation,No,No,No,NA,NA,NA,NA,NA,NA,0,1,Y,N
55,Other,Male,Citizen,Veteran,Some College,No,No,0,2011,2013,Federal,MO,Yes,Other Property,Property,None,No,Yes,No,NA,NA,NA,NA,NA,NA,2,1,N,N
23,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,29,2013,2013,State,FL,Yes,Assault,Violent,None,No,Yes,No,No,Black,Female,35 to 54,Stranger,Other Violent Offense,0,1,N,Y
29,White,Male,Citizen,Non-veteran,Less Than High School,No,Yes,28,2011,2015,State,OK,Yes,Drug Possession,Drug,Probation,No,No,Yes,NA,NA,NA,NA,NA,NA,4,1,Y,N
32,White,Male,Citizen,Non-veteran,Some College,No,Yes,578,2002,2004,State,TX,Yes,Homicide,Violent,None,No,No,No,NA,White,NA,NA,NA,NA,2,1,Y,N
52,White,Male,Citizen,Non-veteran,High School Graduate,No,No,0,NA,2015,State,WI,Yes,Homicide,Violent,None,No,Yes,NA,No,White,Female,35 to 54,Knew,Murder / Manslaughter / Homicide,NA,1,Y,N
36,White,Female,Citizen,Non-veteran,Less Than High School,No,Yes,91,2009,2010,State,KY,Yes,Other Drug,Drug,Probation,No,No,Yes,NA,NA,NA,NA,NA,NA,1,1,Y,N
42,Black,Male,Citizen,Non-veteran,High School Graduate,No,Yes,0,2012,2013,State,MD,Yes,Drug Trafficking,Drug,None,No,Yes,Yes,NA,NA,NA,NA,NA,NA,1,1,N,Y
30,Other,Male,Citizen,Non-veteran,High School Graduate,No,NA,NA,NA,2015,Other,TX,No,Other Property,Property,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,0,N,N
46,Asian/Native Hawaiian/Other Pacific Islander,Male,Citizen,Non-veteran,Less Than High School,No,Yes,243,1993,1995,State,LA,Yes,Other Violent,Violent,None,No,Yes,No,NA,Black,NA,NA,NA,NA,2,1,N,N
22,Black,Male,Citizen,Non-veteran,High School Graduate,No,Yes,1460,2013,2015,State,CA,Yes,Burglary,Property,None,No,No,No,NA,NA,NA,NA,NA,NA,2,1,N,Y
51,Other,Male,Citizen,Non-veteran,Less Than High School,No,Yes,517,2012,2013,State,WV,Yes,Homicide,Violent,None,No,No,Yes,No,White,Male,35 to 54,Knew,Murder / Manslaughter / Homicide,1,1,N,N
39,Other,Female,Citizen,Non-veteran,Less Than High School,No,Yes,365,2007,2008,State,VA,Yes,Robbery,Violent,None,No,No,No,NA,White,NA,NA,NA,NA,1,1,N,N
40,Hispanic,Male,Citizen,Non-veteran,Less Than High School,Yes,Yes,61,2014,2014,State,PA,Yes,Other Property,Property,Probation,No,No,No,NA,NA,NA,NA,NA,NA,0,1,N,N
45,Black,Male,Citizen,Non-veteran,High School Graduate,Yes,Yes,122,2014,2015,State,OH,Yes,Assault,Violent,None,No,No,Yes,No,White,Female,35 to 54,Knew,Other Violent Offense,1,1,N,Y
32,Hispanic,Male,Citizen,Non-veteran,High School Graduate,No,Yes,243,2003,2004,State,CA,Yes,Robbery,Violent,None,Yes,Yes,Yes,Yes,Asian/Native Hawaiian/Other Pacific Islander,NA,NA,NA,NA,1,1,N,N
37,White,Male,Citizen,Non-veteran,Less Than High School,No,Yes,152,2015,2015,State,GA,Yes,Other Public Order,Public order,Probation,No,No,No,NA,NA,NA,NA,NA,NA,0,1,Y,N
49,Hispanic,Male,Non-citizen,Non-veteran,High School Graduate,No,No,0,2015,2015,State,FL,Yes,Drug Trafficking,Drug,None,No,No,NA,NA,NA,NA,NA,NA,NA,0,1,N,N
37,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,335,1998,1999,State,AL,Yes,Homicide,Violent,None,Yes,Yes,Yes,No,Black,Female,35 to 54,Stranger,Murder / Manslaughter / Homicide,1,1,N,Y
49,Other,Male,Citizen,Non-veteran,Less Than High School,No,Yes,60,2004,2004,State,MI,Yes,Weapons,Public order,None,Yes,No,No,NA,NA,NA,NA,NA,NA,0,1,N,N
54,White,NA,NA,Non-veteran,NA,NA,Yes,274,2013,2013,State,OK,Yes,Drug Trafficking,Drug,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,Y,N
32,Hispanic,Male,Non-citizen,Non-veteran,Less Than High School,No,Yes,243,2014,2014,Federal,-1,Yes,Other Public Order,Public order,None,No,No,No,NA,NA,NA,NA,NA,NA,0,1,N,N
20,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,30,2012,2012,State,IL,Yes,Robbery,Violent,None,No,Yes,Yes,Yes,White,Male,35 to 54,Stranger,Other Violent Offense,0,1,N,Y
50,Black,Male,Citizen,Non-veteran,Some College,Yes,Yes,122,2015,2016,State,TX,Yes,Weapons,Public order,Probation,Yes,No,No,NA,NA,NA,NA,NA,NA,1,1,N,Y
30,White,Female,Citizen,Non-veteran,Less Than High School,No,Yes,20,2015,2015,State,WA,Yes,Other Property,Property,Probation,No,No,Yes,NA,NA,NA,NA,NA,NA,0,1,Y,N
24,Black,Male,Citizen,Non-veteran,High School Graduate,No,Yes,1,2015,2015,State,MO,No,Burglary,Property,NA,No,No,Yes,NA,NA,NA,NA,NA,NA,0,0,N,Y
52,White,Male,Citizen,Non-veteran,High School Graduate,No,No,0,2016,2016,State,NY,Yes,Other Public Order,Public order,Parole,No,No,No,NA,NA,NA,NA,NA,NA,0,1,Y,N
42,Other,Male,Citizen,Non-veteran,Less Than High School,No,Yes,639,2014,2015,Federal,AR,Yes,Other Property,Property,None,No,NA,NA,NA,NA,NA,NA,NA,NA,1,1,N,N
20,Black,Male,Citizen,Non-veteran,Less Than High School,No,Yes,335,2013,2014,State,AL,Yes,Robbery,Violent,None,No,No,Yes,No,Black,Male,35 to 54,Stranger,Other Violent Offense,1,1,N,Y
29,Other,Female,Citizen,Non-veteran,Some College,No,Yes,456,2011,2014,State,WV,Yes,Burglary,Property,None,No,No,Yes,NA,NA,NA,NA,NA,NA,3,1,N,N
35,White,Male,Citizen,Non-veteran,Less Than High School,No,Yes,122,2011,2012,State,NC,Yes,Other Public Order,Public order,None,No,Yes,Yes,NA,NA,NA,NA,NA,NA,1,1,Y,N
36,White,Female,Citizen,Veteran,Some College,No,Yes,260,2014,2015,State,MN,Yes,Other Public Order,Public order,Probation,No,No,No,NA,NA,NA,NA,NA,NA,1,1,Y,N
62,White,Male,Citizen,Veteran,Some College,Yes,Yes,395,2003,2004,State,OK,Yes,Homicide,Violent,None,No,No,No,No,White,Female,25 to 34,Knew,Murder / Manslaughter / Homicide,1,1,Y,N
30,NA,Male,Citizen,Non-veteran,Less Than High School,No,Yes,182,2015,2016,State,NC,Yes,Drug Possession,Drug,Probation,No,Yes,No,NA,NA,NA,NA,NA,NA,1,1,NA,NA
